id,value,type,tipoprocedimento,url,isTributario,date
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1991,S 103/1991,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1991%3A103,TRIBUTARIO,1991-02-27
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1994,O 103/1994,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1994%3A103,TRIBUTARIO,1994-03-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2002,O 103/2002,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2002%3A103,TRIBUTARIO,2002-04-08
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2004,S 103/2004,S,GIUDIZIO PER CONFLITTO DI ATTRIBUZIONE TRA ENTI,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2004%3A103,TRIBUTARIO,2004-03-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2005,O 103/2005,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA PRINCIPALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2005%3A103,TRIBUTARIO,2005-02-24
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2008,O 103/2008,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA PRINCIPALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2008%3A103,TRIBUTARIO,2008-02-13
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/2012,O 103/2012,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2012%3A103,TRIBUTARIO,2012-04-16
https://dati.cortecostituzionale.it/ontology/Pronuncia/1038/1988,O 1038/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1988%3A1038,TRIBUTARIO,1988-10-27
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1962,O 104/1962,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1962%3A104,TRIBUTARIO,1962-11-15
https://dati.cortecostituzionale.it/ontology/Pronuncia/104/1963,S 104/1963,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1963%3A104,TRIBUTARIO,1963-06-07
