id,label,type,tipo_procedimento,presidente,relatore,tipodispositivo,url,is_tributario,datadecisione,datadeposito,indegree,weighted-indegree,outdegree,weighted-outdegree,degree,weighted-degree,pagerank,weighted-pagerank,authority,hub,norm-betweenness,norm-weighted-betweenness,eigenvector,weighted-eigenvector,modularity-class,weighted-modularity-class
https://dati.cortecostituzionale.it/ontology/Pronuncia/23/1969,S 23/1969,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,SANDULLI,TRIMARCHI,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1969/23.html,TRIBUTARIO,1969-02-13,1969-02-20,0,0,1,1,1,1,0.00018098293497111843,0.00018098293497111843,4.087836905255515e-18,3.783882086518404e-09,0.0,0.0,6.393288747158936e-30,6.799671510355371e-33,122,122
https://dati.cortecostituzionale.it/ontology/Pronuncia/114/2000,S 114/2000,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,MIRABELLI,MARINI,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2000/114.html,TRIBUTARIO,2000-04-13,2000-04-21,2,3,4,11,6,14,0.0004117059962065041,0.0004117059962065041,2.32663702283751e-10,2.7544253519314117e-18,2.259580621836587e-06,2.259580621836587e-06,9.014537133494107e-28,1.1083464561879254e-30,186,186
https://dati.cortecostituzionale.it/ontology/Pronuncia/940/1988,O 940/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,SAJA,GRECO,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1988/940.html,TRIBUTARIO,1988-07-08,1988-07-28,5,5,2,2,7,7,0.00045712903080111255,0.00045712903080111255,4.017642278679922e-12,1.786023063979247e-11,1.3745782116172572e-05,2.0147927211376236e-05,9.959043702062134e-16,1.505670460238651e-18,152,152
https://dati.cortecostituzionale.it/ontology/Pronuncia/47/2017,S 47/2017,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,GROSSI,MORELLI,non fondatezza,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2017/47.html,TRIBUTARIO,2017-02-07,2017-03-02,4,9,1,6,5,15,0.00044697480577023856,0.00044697480577023856,1.9544209223458353e-09,5.3396629309542595e-08,1.8829838515304893e-07,1.8829838515304893e-07,3.9808451713059856e-25,6.455132154925662e-28,480,480
https://dati.cortecostituzionale.it/ontology/Pronuncia/114/2018,S 114/2018,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,LATTANZI,AMOROSO,inammissibilità|illegittimità costituzionale parziale,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2018/114.html,TRIBUTARIO,2018-04-17,2018-05-31,1,2,7,8,8,10,0.00028352651774240096,0.00028352651774240096,9.362905517631195e-18,3.5082810663674502e-09,5.6677813931067727e-05,5.667781393106772e-05,4.539235010482847e-28,7.411641946287354e-31,122,122
https://dati.cortecostituzionale.it/ontology/Pronuncia/7/2014,S 7/2014,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,SILVESTRI,NAPOLITANO,inammissibilità|non fondatezza,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2014/7.html,TRIBUTARIO,2014-01-15,2014-01-23,1,1,1,7,2,8,0.00020264065005398994,0.00020264065005398994,2.2255030592213758e-06,5.088258735890477e-05,0.0,0.0,1.064637158477298e-15,7.01045876255181e-18,171,171
https://dati.cortecostituzionale.it/ontology/Pronuncia/153/2013,S 153/2013,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA PRINCIPALE,,CRISCUOLO,non fondatezza,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2013/153.html,TRIBUTARIO,2013-06-17,2013-06-21,0,0,2,2,2,2,0.00018098293497111843,0.00018098293497111843,-2.65148521071611e-19,5.162383304820343e-08,0.0,0.0,6.393288747158936e-30,6.799671510355371e-33,480,480
https://dati.cortecostituzionale.it/ontology/Pronuncia/215/2004,O 215/2004,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,ZAGREBELSKY,MARINI,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2004/215.html,TRIBUTARIO,2004-07-05,2004-07-06,0,0,1,1,1,1,0.00018098293497111843,0.00018098293497111843,-2.1013021785338872e-18,8.403431990132675e-15,0.0,0.0,6.393288747158936e-30,6.799671510355371e-33,457,457
https://dati.cortecostituzionale.it/ontology/Pronuncia/203/2011,O 203/2011,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,MADDALENA,GALLO F.,manifesta inammissibilità,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2011/203.html,TRIBUTARIO,2011-06-22,2011-07-06,8,8,4,4,12,12,0.000575355028639114,0.000575355028639114,1.6482866887350714e-06,3.5960742199055877e-08,0.00013237910448175722,0.00014071331871460667,1.3130958154343492e-18,8.430664625182304e-22,321,321
https://dati.cortecostituzionale.it/ontology/Pronuncia/144/1972,S 144/1972,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,CHIARELLI,OGGIONI,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1972/144.html,TRIBUTARIO,1972-07-06,1972-07-24,8,22,3,10,11,32,0.004075415434328055,0.004075415434328055,1.5164437214779742e-05,6.143234127292486e-06,0.00024164055568531446,0.00015061667675155113,1.5336670531607017e-07,3.9129068124836445e-08,147,147
